Basin,Subbasin,Date,Year,Month,Avg_rainfall,Agency_name
Brahamaputra Basin,Brahmaputra Lower,2022-01-17,2022,01,0.020287026,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-18,2022,01,0.019227969,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-19,2022,01,0.126775499,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-20,2022,01,1.333872393,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-25,2022,01,0.232176917,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-26,2022,01,0.35755373,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-27,2022,01,0.787233189,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-28,2022,01,0.303102686,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-29,2022,01,0.062567132,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-30,2022,01,0.020556659,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-03,2022,01,0.143751077,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-04,2022,01,1.300365048,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-05,2022,01,0.046771254,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-06,2022,01,0.073428901,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-07,2022,01,0.064688584,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-09,2022,01,0.027518775,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-01,2022,01,0.402010865,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-08,2022,01,0.031889467,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-10,2022,01,0.046798448,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-11,2022,01,0.137076667,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-12,2022,01,2.878244229,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-13,2022,01,9.938292174,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-14,2022,01,3.877902538,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-15,2022,01,0.447725304,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-16,2022,01,0.066692373,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-21,2022,01,2.800720037,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-22,2022,01,3.206049311,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-23,2022,01,0.204392892,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-24,2022,01,0.817663279,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-17,2022,01,0.042356306,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-18,2022,01,0.05018804,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-19,2022,01,0.088030222,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-20,2022,01,0.140541441,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-25,2022,01,0.37074125,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-26,2022,01,2.053985455,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-27,2022,01,2.390837182,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-28,2022,01,2.348130559,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-29,2022,01,0.089345908,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Upper,2022-01-30,2022,01,0.115073644,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-04,2022,01,0.000764517,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-08,2022,01,4.23662E-05,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-10,2022,01,0.005630852,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-11,2022,01,0.094268624,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-03,2022,01,0.000487211,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-05,2022,01,0,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-06,2022,01,0.000119396,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-07,2022,01,0,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-09,2022,01,5.19949E-05,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-16,2022,01,0.003485582,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-17,2022,01,0.001340312,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-18,2022,01,0,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-19,2022,01,6.16235E-05,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-20,2022,01,0,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-23,2022,01,0.039125176,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-24,2022,01,7.685610037,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-12,2022,01,12.40217439,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-13,2022,01,6.396483913,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-14,2022,01,6.561752494,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-15,2022,01,2.160040183,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-21,2022,01,0,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-22,2022,01,0.020258742,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-27,2022,01,0.409405674,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-28,2022,01,0.001555995,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-29,2022,01,0.001509777,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-30,2022,01,0.001498223,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-25,2022,01,0,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-26,2022,01,0.000358187,NRSC VIC MODEL
Brahmani and Baitarni Basin,Baitarni,2022-01-01,2022,01,0,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-04,2022,01,0.001348971,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-08,2022,01,0,NRSC VIC MODEL
